study_hours,attendance,assignments_completed,previous_grade,participation,pass
12.5,85,8,78,6,1
9.2,70,6,65,5,1
6.0,50,3,45,3,0
15.0,95,10,90,9,1
8.0,60,5,55,4,0
11.5,80,7,72,6,1
5.5,45,2,40,2,0
14.0,92,9,88,8,1
7.5,55,4,50,3,0
10.0,75,6,68,5,1
13.0,85,8,77,7,1
6.8,48,3,42,2,0
12.2,82,7,75,6,1
9.5,68,5,60,4,1
5.0,40,1,35,1,0
11.0,78,6,70,5,1
8.5,65,5,58,4,1
4.5,38,0,30,1,0
13.5,88,9,80,7,1
7.0,55,3,48,3,0
12.8,83,8,76,6,1
9.0,70,5,62,4,1
6.2,50,2,43,2,0
14.5,94,10,90,9,1
8.2,60,4,53,3,0
11.8,79,7,72,6,1
5.8,45,2,40,2,0
13.2,87,9,82,8,1
7.2,57,3,50,3,0
10.5,75,6,68,5,1
12.0,80,7,74,6,1
6.5,48,3,42,2,0
14.2,92,9,88,8,1
8.8,63,5,57,4,1
5.2,42,1,35,1,0
11.5,78,6,70,5,1
9.5,67,5,60,4,1
4.8,38,0,32,1,0
13.8,90,9,84,8,1
7.5,55,3,48,3,0
10.8,76,6,69,5,1
12.5,82,7,75,6,1
6.0,46,2,40,2,0
14.0,93,10,89,9,1
8.5,61,4,55,4,0
11.2,77,6,70,5,1
5.5,44,1,38,2,0
13.0,85,8,78,7,1
7.8,58,4,50,3,0
10.0,74,6,67,5,1
12.2,81,7,74,6,1
6.5,47,2,41,2,0
14.5,95,10,91,9,1
8.0,60,4,53,3,0
11.5,78,6,70,5,1
5.0,43,1,36,2,0
13.5,88,9,82,8,1
7.2,56,3,49,3,0
10.5,73,6,66,5,1
12.8,84,7,77,6,1
6.2,45,2,39,2,0
14.0,92,9,88,8,1
8.8,62,4,56,4,0
11.0,76,6,69,5,1
5.5,41,1,35,1,0
13.0,86,8,80,7,1
7.5,54,3,48,3,0
10.8,75,6,68,5,1
12.0,80,7,73,6,1
6.5,46,2,40,2,0
14.2,94,9,90,9,1
8.2,60,4,54,3,0
11.5,79,6,71,5,1
5.8,44,1,37,2,0
13.5,87,8,82,7,1
7.0,55,3,48,3,0
10.5,74,6,67,5,1
12.5,82,7,75,6,1
6.0,47,2,41,2,0
14.0,92,9,88,8,1
8.5,63,4,57,4,0
11.2,77,6,70,5,1
5.2,42,1,36,1,0
13.2,85,8,79,7,1
7.8,58,3,51,3,0
10.0,73,6,66,5,1
12.2,81,7,74,6,1
6.5,45,2,39,2,0
14.5,95,10,91,9,1
8.0,60,4,53,3,0
11.5,78,6,71,5,1
5.5,44,1,37,2,0
13.0,86,8,80,7,1
7.2,56,3,49,3,0
10.5,75,6,68,5,1
12.8,84,7,77,6,1
6.2,45,2,39,2,0
14.0,92,9,88,8,1
8.8,62,4,56,4,0
11.0,76,6,69,5,1
5.5,41,1,35,1,0
13.0,86,8,80,7,1
7.5,54,3,48,3,0
10.8,75,6,68,5,1
12.0,80,7,73,6,1
6.5,46,2,40,2,0
14.2,94,9,90,9,1
8.2,60,4,54,3,0
11.5,79,6,71,5,1
5.8,44,1,37,2,0
13.5,87,8,82,7,1
7.0,55,3,48,3,0
10.5,74,6,67,5,1
12.5,82,7,75,6,1
6.0,47,2,41,2,0
14.0,92,9,88,8,1
8.5,63,4,57,4,0
11.2,77,6,70,5,1
